37,RIB-EYE,37,185,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
38,MIXIOTE DE CORDERO,38,100,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
39,PECHUGA PLANCHA O DIABLA (CON ENSALADA Y PAPAS),39,85,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
40,MILANESA POLLO O RES (CON ENSALDA Y PAPAS),40,85,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
41,TAMPIQUEÑA,41,95,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
42,LICUADOS,42,30,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
43,REFRESCO,43,15,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
44,JARRA DE AGUA (SABOR),44,60,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
45,JUGO DE NARANJA,45,20,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
46,COPA DE VINO,46,30,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
47,CERVEZA  ,47,30,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
48,"CLAMATO, MICHELADA O CHELADA",48,40,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
49,CAFÉ AMERICANO,49,20,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
50,CAFÉ EXPRESS,50,25,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
